,teks,label,clean_teks
922,waduuhhh...Kereeen bangeeet dedek2 emeesh,no,waduuhhhkereeen bangeeet dedek emeesh
923,Klo aku sih yes bingits...coba ya seandaix anak2 buat video sprt gini atau video kreativ lainnya kan bagus dripda buat video mesum..atau ngelem dll yg berbau negativ bikin dosa dan maluin ortu dan diri sendiri,no,sih ya bingitscoba ya seandaix anak video video kreativ bagus dripda video mesumatau ngelem lain bau negativ bikin dosa maluin orangtua
924,Bagussss + dandannya natural ga banyak permak kayak anak jaman now lainnya ????????????,no,bagussss dandan natural permak anak jaman
925,Kereeeeennnn padahal nyanyinya santai banget ????????????,no,kereeeeennnn nyanyi santai
926,Polossss...keren....ga neko2 kayaknya...jossss,no,polosssskerenga neko kayaknyajossss
927,Yesssssss !!!!! Bagus bgt !!! ?????? Kids jaman now yg begini yg diksh jempolllll ????????,no,yesssssss bagus banget kids jaman diksh jempolllll
928,Wajah2 anak skul bgt yaakk mase alami bgt suka liatnya ???? lagu ma suara keren palg yg pake bando suaranya mantap ??????,no,wajah anak skul banget yaakk mase alami banget suka lihat lagu suara keren palg pakai bando suara mantap
929,Keren suaranya dasarnya cantik tinggal di poles dikit bersinar??????,no,keren suara dasar cantik tinggal poles sinar
930,"Pembagian suaranya pas bnget,pecah suaranya jg cakep",no,bagi suara pas bngetpecah suara cakap
931,keren bgt suaranya.tinggal dipermak aja biar tmbh cantik.viralkann....,no,keren banget suaranyatinggal permak biar cantikviralkann
932,Kereeeennnnnn... suaranyaaahh okkeehh ketjeeehh badaaiik ughllaaaallaa..,no,kereeeennnnnn suaranyaaahh okkeehh ketjeeehh badaaiik ughllaaaallaa
933,"Yes yes yes..kirain lypsinc habisnya mirip sih suaranya,eh pas dua2nya nyanyi bareng baru ngeh asli..kereennn",no,ya ya yeskirain lypsinc habis sih suaranyaeh pas dua nyanyi bareng ngeh aslikereennn
934,Keren yg penting punya bakat dulu ntar jg klo udah jd artis banyak duit mukanya bisa cemerlang,no,keren bakat artis duit muka cemerlang
935,Keren min orang2 yg berbakat kaya gini yg harus di up ke publik????????,no,keren min orang bakat kaya up publik
936,Kereeen bgt suaranya. Nah kyk gini dong kids jaman now...??,no,kereeen banget suara kids jaman
937,mrinding... bagus poll... d jaga ya dek kepolosannya... ???? jng smpek kyk si aw2 dkk.. ??????,no,merinding bagus poll jaga ya dek polos smpek si aw kawan
938,"Kereenn sumpaah,, kebangetan bagusnya..??",no,kereenn sumpaah banget bagus
939,Ya ampun lakikny ganteng. Rini nya juga cantik. Mungil pula skrg.,no,ya ampun lakikny ganteng rini nya cantik mungil
940,"Suaminya swett... keliatannya syg bgt ma istrinya, ganteng lagi... Haaaaaaa ?? so swett lah... Smg langgeng slluÃ–",no,suami swett sayang banget istri ganteng haaaaaaa swett moga langgeng sllu
941,"Wah Mbak Rini hamil ya ?? Selamat ya mbak semoga kandungannya sehat"" aja & juga mbak rininya , makin bahagia di hamil yang pertama , dan semoga lancar di proses persalinannya nanti ????",no,mbak rini hamil ya selamat ya mbak moga kandung sehat mbak rini bahagia hamil moga lancar proses salin
942,"Kasian anaknya,, jgn sampek anaknya rusak jugak kek emaknya yaa",no,kasihan anak sampek anak rusak emaknya yaa
943,Kalo pasangan cantik + ganteng suka deh liatnya?,no,pasang cantik ganteng suka deh lihat
944,"Wah akhirnya hamil lagi juga. Selamat ya mbak Sandra semoga kehamilannya makin sehat"" saja , makin fit dan semoga lancar di prosesi persalinannya nanti. Wah udah jadi calon ibu nih",no,hamil selamat ya mbak sandra moga hamil sehat fit moga lancar prosesi salin calon nih
945,ikutan happy....sukakkk bgt sm nih couple...salah satu pasangan sempurna menurut gw,no,ikut happysukakkk banget nih couplesalah pasang sempurna
946,"Pernah lihat di infotainment sebelum nikah, wkt ditanya persiapannya jelang pernikahan, sandra dewi bilang klo dia sama calon suaminya pengen banget cepat punya anak nanti hbs menikah, krn mereka suka anak kecil, bahkan mereka sdh prepare program2 yg akan mereka lakukan klo dlm wkt dekat blm dikasih anak, but finally...congrats...semoga lancar dan sehat trs sampe lahiran ??????",no,lihat infotainment nikah siap jelang nikah sandra dewi bilang calon suami cepat anak habis meni suka anak siap program laku kasih anak but finallycongratssemoga lancar sehat lahir
947,Keluarga ter-humble ter-sempurna ter-sederhana dan engga pernah sok terlihat kaya dan ga pnah manja pake pesawat jet pribadi kayak yg lain lain ??????????,no,keluarga terhumble sempurna sederhana sok kaya pnah manja pakai pesawat jet pribadi
948,"Bunda maia cantik semoga slalu sukses, sehat trs ya cantik wajahnya secantik hatinya",no,bunda maia cantik moga sukses sehat ya cantik wajah cantik hati
949,"Artis yg gue kaguminn.. Nikah muda, ga neko2, syg keluarga syg suami,, mengutamakan anak2.. Ga puyeng ama dunia hiburan dan ke artisann.. Padahal tajirrr mampuss.. Plus ga alayy dan ga aneh2.. Salutt ama niaa.. Smiga slalu samawa.. Yaa nia and famzz???????????????????????????????",no,artis kaguminn nikah muda neko sayang keluarga sayang suami utama anak puyeng dunia hibur artisann tajirrr mampuss plus alayy aneh salutt niaa smiga samawa yaa nia and famzz
950,"<USERNAME> iya aku sih jujur bukan fans Nia, biasa aja sama dia, pas dia tenar banget sama sinteronnya juga aku biasa aja. Tapi makin ke sini kalau soal urusan keluarga, aku salut ama dia. Dia kan masih muda ya itungannya, sama aku cuma beda 2-3 t",no,username iya sih jujur fans nia pas tenar sinteronnya urus keluarga salut muda ya itungannya beda t
951,Smnjk hbs nikah auranya keluarr bgt. Suaminya jg kliatan syg dan nia nya kliatan baik gt tulusss.. sukak deh liatnya.,no,smnjk habis nikah aura keluarr banget suami sayang nia nya tulusss sukak deh lihat
952,Mngkin s mba nya marah2 krna ad kata2 yg ga enk dr yg komen..wajar lah kl dia marah..toh it kan cuma foto biasa aj.. Ko jadi malah mba nya yg d bully..sampe bawa2 fisik sgala.. Kan ga bgus.. Pinter2 lah kita mnyikapi medsos.. ????,no,s mbak nya marah enak komenwajar marahtoh foto ko mbak nya bullysampe bawa fisik bagus pintar mnyikapi medsos
953,Cantik banget yak.. Punya anak cewe begini puyeng kali yak jagain nya ??????,no,cantik yak anak cewek puyeng kali yak jagain nya
954,"<USERNAME> iya betul mba. Ariel gak ganteng. Tapi ariel punya kharisma yg menarik. Udah tua pun skrang agak keriput wajahnya ttp aja kharisma nya sebagai lelaki keliatan lebih terpancar. Buktinya mama, dan tante saya makin tergila2 sama ariel dan sa",no,username iya mbak ariel ganteng ariel kharisma tarik tua keriput wajah kharisma nya lelaki pancar bukti mama tante gila ariel sa
955,"Jadi manusia Saling menghargailah, kalo tulisan yg ditulis itu tidak berguna bahkan menyakiti hati orang lain. Ya sebaiknya tidak usah tulis. Pergunakan sosmed dengan smart ya guys!!",no,manusia harga tulis tulis guna sakit hati orang ya tulis guna sosmed smart ya guys
956,entah kenapa kalo liat <USERNAME> bergaya apapun ttp kliatan bagus... suka sama lgu nya.. sukses trus kak,no,lihat username gaya apa bagus suka lagu nya sukses kak
957,banyak bangat emasnya.jadi salpok diemasnya.tp sumpah lagunya dan music nya keren bngat.apalagi konsep mv nya ia ambil handel.kan keren menurut saya.kalo denada taro kutang diluar itu krn masih minim perestasi.tp kalo agnes itu hal wajar.prestasi dan dunia fashion kalo artis indonesia ia selalu unggul.krn ia berani meski gak cocok ia pake,no,bangat emasnyajadi salpok diemasnyatp sumpah lagu musik nya keren bngatapalagi konsep mv nya ambil handelkan keren sayakalo denada taro kutang luar minim perestasitp agnes wajarprestasi dunia fashion artis indonesia unggulkrn berani cocok pakai
958,"Coba deh yang pada kritik2 itu bikin karya sendiri, siapa tau lebih bagus dari yang mereka kritik",no,coba deh kritik bikin karya bagus kritik
959,"Pada protes kenapa sih??yang protes itu coba usaha deh..Jangan kira usaha dia pendek ya!!.Butuh waktu lama dia agar bisa go international.Jangan cuma protes,klau pengen yang kalian inginkan ya kaliam sendiri dengan cara sendiri agar kalian bisa go international",no,protes sihyang protes coba usaha dehjangan usaha pendek yabutuh go internationaljangan protesklau ya kaliam go international
960,"Keren, ga suka ma agnes, tp suka ma lagu ini, n jd suka jg ma y nyanyi, santai lagunya tp asyik",no,keren suka agnes suka lagu n suka y nyanyi santai lagu asyik
961,"Bandingin lagu Go Internasional yang paling ngena di gue ini seru enak didenger....... Tapi tumben agnes gak memberikan bumbu Indonesianya kaya ada Batik"" gtu atau apa..",no,bandingin lagu go internasional kena seru enak dengar agnes bumbu indonesia kaya batik
962,"Nah ini baru keren, daripada mba mba superman wkwkwk",no,keren mbak mbak superman wkwkwk
963,"Sumpah gua suka bgt sama lagu dia yg ini, asik bgt di dengernyaa",no,sumpah suka banget lagu asyik banget dengernyaa
964,Enak banget mak lagu2 dialbumnya paling suka yg inih sm beautiful mistake,no,enak mak lagu album suka inih beautiful mistake
965,Mantap .gw suka bngt ama agnes.karena dy artis yg bertalenta .dan ke kayaan dy ga pernah dipamer ky artis ygblain.gw suka dy ga pernah pamer.keren bngt,no,mantap suka agneskarena artis talenta kaya pamer artis ygblaingw suka pamerkeren
966,enakk musik nyaa . apa lagii lhatt ka agnes nyaa dance kaya nyaa nyamaann dan enakk bgt tuh kayaa nyaa,no,enakk musik nyaa lagi lhatt ka agnes nyaa dance kaya nyaa nyamaann enakk banget tuh kayaa nyaa
967,"Asik bgts dancenya,apa lg lagunya mancappppp",no,asyik bgts dancenyaapa lagu mancappppp
968,Ganteng banget meski aura... Kenceng banget & diragukan.semoga langgeng mami..,no,ganteng aura cepat diragukansemoga langgeng mami
969,"Mami depe cantik banget. Awet muda, ngga kalah sm penyanyi pendatang baru. Semoga samawa... <USERNAME>",no,mami depe cantik awet muda kalah nyanyi datang moga samawa username
970,Ganteng yesss. Mami cuco deh sama babang. Semoga langgeng ya unchhh lope mami,no,ganteng yesss mami cuco deh babang moga langgeng ya unchhh lope mami
971,Mbak dewi jadi lebih sabar keliahatannya... Keren semoga semakin langgeng,no,mbak dewi sabar keliahatannya keren moga langgeng
972,Soal pasangan hidup ijk salut sih sama mami depe.. ga matre n neko2.. yg penting single n cocok doi mau diajak merit.. ga kyk tetangga sblh saking matrenya suami org di embat jg..,no,pasang hidup ijk salut sih mami depe matre n neko single n cocok doi ajak meni tetangga belah saking matrenya suami orang embat
973,mau duda mau singgel itu ngak masalah yg penting laki jaman sekarang setia menemani dunia akhirat amin good luck dewi persil sehat slalu dlm berkarya,no,duda singgel laki jaman setia tani dunia akhirat amin good luck dewi persil sehat karya
974,Muantepp ganteng...selamat menempuh hidup baru mg langgeng rumah tanggax bhagia n selladem ayem...??????,no,muantepp gantengselamat tempuh hidup mg langgeng rumah tanggax bhagia n selladem ayem
975,"Mb depe langgeng yo karo masny.mb ibuku ngefans bgt sm mb depe dri mb sm mas saiful dlu smpe2 blng jdi pembntuny gapapala ktny,pgn bgt ktmu mb depe ibuku kami dijambi mb",no,mbak depe langgeng ya masnymb ibu ngefans banget mbak depe mbak saiful bilang pembntuny gapapala ktnypgn banget ketemu mbak depe ibu dijambi mbak
976,Jangan di dengar kata 2 yg menyakitkan hati lebih baik tenang jalanin aja dengan pilihan andah sendiri bahagia itu biasanya ada di kata hatimu maju trus dan sukses bersama pasangan mu,no,dengar sakit hati tenang jalanin pilih andah bahagia hati maju sukses pasang mu
977,"Cakep,ganteng pacarnya dewi persik,udah ini aja jgn ganti lg yaa dewi",no,cakepganteng pacar dewi persikudah ganti yaa dewi
978,"Beruntungnya Bella.. Orang2 jadi fokus ama komen lakinya. Coba kalo ngga, pasti model bajunya yang diceramahin ama netizen ??",no,untung bella orang fokus komen laki coba model baju diceramahin netizen
979,Beginilah pasangan suami istri yg normal.. Romantisme hanya dia dan istri yg tau. Ga perlu diumbar.. Tp dijaga. Yg suka umbar kemesraan iti kebanyakan menutupi kenyataan yg sebenarnya.,no,pasang suami istri normal romantisme istri umbar jaga suka umbar mesra iti banyak tutup nyata
980,"Naksir Ama ceweknya, kyanya lembut banget Kya bolu ??",no,naksir cewek lembut bolu
981,Cewex luar biasa cntik... Cowox.. Mmmmhh hehe,no,cewex cantik cowox mmmmhh hehe
982,"Cewenya cantikk, the power of tajir ??",no,cewenya cantikk the power of kaya
983,Alhamdulillah lebih ganteng babang Emran ya <USERNAME> ??,no,alhamdulillah ganteng babang emran ya username
984,"Alhamdulillah <USERNAME> gak jadi sama yg ini... engku emran masyaallah ganteng, anteng, sabar, sholeh, penyanyang, senyumnya cute.. baper dech",no,alhamdulillah username engku emran masyaallah ganteng anteng sabar sholeh nyanyang senyum cute baper dech
985,Cantik manis cewe nya .. cocok ajalah,no,cantik manis cewek nya cocok
986,"Cewenya manis, cakepan yg skrg Dr yg kmrn ga jd.",no,cewenya manis cakep kemarin
987,yg ini lbh cantik sih. hebat jg ni lakik ciwik nya cakep2 lho..,no,cantik sih hebat ni lakik ciwik nya cakap lho
988,Semoga betul klo sma yg ini mh....klo bella mh udah dapet yg amat sangat pas lah????,no,moga sma mhklo bella mh pas
989,"Semoga ga putus lagi ya. Ka bella udah bahagia banget tuh, ga malu??? ??????",no,moga putus ya ka bella bahagia tuh malu
990,Yaampun cantiikk bangett aslii! Angguunn ??,no,yaampun cantiikk asli angguunn
991,<USERNAME> euum setuju sekaliii emang cantikan ini dari pada yang sebelumnya. Lebih WOW... ?? terbaik ?? terpelihara hehe,no,username euum tuju sekaliii cantik wow baik pelihara hehe
992,"Cantiik, senyumnya mirip Maudy Kusnaedi",no,cantiik senyum maudy kusnaedi
993,"Dari kisah jevin radhini rini gue jd belajar 1 hal. ""Kalau memang jodohmu, maka akan ada saja jalanNya"". Gue kebetulan ngikutin dr awal. Gue nonton pas live the remix jevin ngomong 'itu pacar saya nonton' sambil nunjuk radhini. Gue jg nntn pas jevin meluk radhini erat bgt di backstage stlh lolos ke final. Keliatan jevin ini anaknya gentle, tulus dan penyayang. Tapi Allah maha pembolak-balik hati. Mei '15 jevin radhini pcrn, sept '15 jevin rini dipasangin the remix, Des '15 final the remix, jan '16 jevin radhini putus, feb '16 jevin rini pcrn, april '16 jevin ngelamar rini, feb '17 jevin rini tunangan, mei '17 jevin rini nikah. Allah works in many ways??. Allah's plan is better than our plan. Jevin yg dulunya berfikiran akan nikah umur 30, siapa sangka di umur 25 dan dlm waktu pcrn baru 2 bulan udah yakin ngajakin anak orang nikah. Ah, happy wedding soundwave. Bahagia selalu??",no,kisah jevin radhini rini ajar jodoh jalan ikut nonton pas live the remix jevin bicara pacar nonton nunjuk radhini nonton pas jevin luk radhini erat banget backstage lolos final jevin anak gentle tulus sayang allah maha pembolakbalik hati mei jevin radhini pacar september jevin rini dipasangin the remix des final the remix jan jevin radhini putus feb jevin rini pacar april jevin lamar rini feb jevin rini tunang mei jevin rini nikah allah works in many ways allahs plan is better than our plan jevin dulunya berfikiran nikah umur sangka umur pacar ngajakin anak orang nikah ah senang wedding soundwave bahagia
994,"Kalau kita bisa mengartikan jodoh,ini lah yang di bilang jodoh.cantik lahir batin tapi kl ga jodoh perpisahanlah yang terbaik..",no,arti jodohini bilang jodohcantik lahir batin jodoh pisah baik
995,Pingkan ni suaranya enak banget.. bindeng2 gimana gt.. berciri khas.. ibarat gw merem denger suaranya gw udh langsung tauk,no,pingkan ni suara enak bindeng cir khas merem dengar suara langsung tauk
996,Hatinya terbuat dari apa ya .. Mbaa gigi yang berhati luarbiasanya ajah sampe di benci .. Cobaa sebutin heternya mbaa kesalahan apa yang mba gigi lakukan :'( duhh aku ajah jadi sukak sama sifatnyaaaaaaaaaaa,no,hati buat ya mbaa gigi hati luarbiasanya benci cobaa sebutin heternya mbaa salah mbak gigi laku duhh sukak sifatnyaaaaaaaaaaa
997,"Suka banget banget nih sama ni artis, gak neko neko, ternyata masih lahiran 1996 ??????",no,suka nih ni artis neko neko lahir
998,"alhamdulillahhh... ada juga yang ngepost ayangnya Ibel.... biarin deh damai seisi dunia.... masing2 sdh punya pasangan, jadi engga ada lg yang bilang Ibel PHO.... Happy b""day Ibel",no,alhamdulillahhh ngepost ayangnya ibel biarin deh damai isi dunia pasang bilang ibel pho senang bday ibel
999,"Ini kakaknya murid2ku waktu msh ngajar di sekolah internasional mihil. Anaknya cantik2 dan si ibu dan bpk ramah dan baik bngt. Seluruh sepupunya di sekolah yg sama, yg uang masuknya aja 70 jtan lbh/siswa. G tau skrg brp.",no,kakak murid ajar sekolah internasional mihil anak cantik si ramah sepupu sekolah uang masuk jtan lbhsiswa
1000,"<USERNAME> justru karena ka bella sholehah, punya penghasilan sendiri, dan cantik jadi Allah mau kasih jodoh yang lebih baik lagi..",no,username ka bella sholehah hasil cantik allah kasih jodoh
1001,"Mbak bela, nikahnya berdasarkan atas dasar agama mbak yg diutamakan ya. Biar laki2nya dpt yg baik. Saya yakin banyak laki2 yg baik dan kaya raya yg mau nikahin mbak",no,mbak bela nikah dasar dasar agama mbak utama ya biar laki laki kaya raya nikahin mbak
1002,Duh geulis kitu ditinggal sama yg 'itu' duuuhhhh hahaha jodohnya pasti Allah kasih yg lebih baik Teeeh ??,no,duh geulis kitu tinggal duuuhhhh hahaha jodoh allah kasih teeeh
1003,"Bu Ameeel.... udah lama ga ke bank,kangen bu Amel yg cantik,ramah,baik ama kangen tentengannya hihiii ????. Nanya si mba bu Amelnya pindah rumah dan lg hamil. Sehat2 yaa bu Amel,salam buat Annabel",no,bu ameeel bankkangen bu amel cantikramahbaik kangen tenteng hihiii si mbak bu amelnya pindah rumah hamil sehat yaa bu amelsalam annabel
1004,"Ambil positifnya aja mbak toh oma nani yang menjalankan, mau mbak bilang gimana nggak mungkin kan oma langsung cerai karena itu udah pilihan hidup dia gimana jadi lebih baik didoakan semoga langgeng karena menikah juga ibadah heheu <USERNAME>",no,ambil positif mbak oma nan jalan mbak bilang oma langsung cerai pilih hidup doa moga langgeng meni ibadah heheu username
1005,"Alesha arti namanya : Yang dilindungi Allah....aamiin yra, ya nak....",no,alesha arti nama lindung allahaamiin yra ya nak
1006,Semoga anak nya bsok pas bangun langsung jd dewasa biar bisa bakal jodoh saya???? pasti gedenya ntar sama cakep kek kakaknya Fahri..,no,moga anak nya besok pas bangun langsung dewasa biar jodoh besar cakap kakak fahri
1007,min mnta doanya jg buat saya mudahan dilancarkan dan selamat saat melahirkan bulan mei ini. Aamiin,no,min doa mudah lancar selamat lahir mei aamiin
1008,"Waaah.... Hamil Malah makin cantik, cew kali yeee debay nya.... ??",no,waaah hamil cantik cewek kali yeee debay nya
1009,mba acha cantik banget banget banget !! buat calon ibu yg blm d kasih momongan sm Allah smoga di segerakan ya ??,no,mbak acha cantik calon kasih momong allah moga segera ya
1010,"Gemulai'nya Momo,, Bak Putri keraton Jawa,,, semoga bersatu selama'nya dan cuma Maut yg memisah'kan,, Gbu...",no,gemulai momo bak putri keraton jawa moga satu maut pisah gbu
1011,Berasa kaya mau manggung kk <USERNAME> ?? semoga lancar dan cepat punya momongan biar Ada Princess Kecil MoMo atau gak prince ??,no,asa kaya manggung kartu keluarga username moga lancar cepat momong biar princess momo prince
1012,"waaahhh sm dokter sigit ya, ini dokter the best banget, baik banget, humble orgnya, recomend banget buat yg mau program dan kehamilan ??",no,waaahhh dokter sigit ya dokter the best humble orang recomend program hamil
1013,"Ashanti bunda the best, Slalu belain/support anaknya. Mskipun bkn ank kndung??",no,ashanti bunda the best belainsupport anak anak kndung
1014,Smua orng berhak untuk melakukan apapun yg mereka suka.. Asal g mrugikan dirinya ataupun ornglain.. Mau aurel dandan berlebihan atau natural itu hak dia.. Apalagi aurel pinter banget dandannya.. Kliatan cantiiik banget.. ????,no,orang hak apa suka mrugikan ornglain aurel dandan natural hak aurel pintar dandan cantiiik
1015,Beruntung si aurel dpt ibu sambung kaya ashanti . <USERNAME>,no,untung si aurel sambung kaya ashanti username
1016,salut ma bunda <USERNAME> .. mskipun ibu sambung.. tpi sellu jdi org yg plingbdpan mmbela aurel n azriel dri pra hatters..,no,salut bunda username sambung sellu orang plingbdpan mmbela aurel n azriel pra hatters
1017,"Keren ya ashanty segitu sayangnya sama anak nya(padahal bukan anak kandung), yang ibu kandung aja blm tentu begitu. Ini orang hatinya kek bidadari di tv tv. Beruntung banget itu aurel azriel punya ibu tiri macam dia",no,keren ya ashanty segitu sayang anak nyapadahal anak kandung kandung orang hati bidadari televisi televisi untung aurel azriel tiri
1018,"Salut buat Bunda <USERNAME> slalu yg trdpan melindungi ank""yh...mngalahin ibu kandung sndri yg cma Diam ajj...bt aurel pa yg slah pd dya jga Manusia ciptaan Allah klau pun Dya lbh sgla yh dri yg suka nyinyiir mslh pnampilan brarti dh nasib tuuh orang g bsa sprti Aurel yg lbh baek n bgs dri yg nyinyiiir..",no,salut bunda username trdpan lindung ankyhmngalahin kandung diam ajjbt aurel salah dya manusia cipta allah dya sgla yh suka nyinyiir pnampilan nasib tuuh orang aurel baek n bagus nyinyiiir
1019,Ibu tiri terhebat..... Ntr palingan klo dah 20an dia baru perawatan .skrg msh muda kasian klo di paksa perawatan .cm ya paling tutup mata tutup kuping skrg mah,no,tiri hebat paling an awat muda kasihan paksa awat ya tutup mata tutup kuping mah
1020,"<USERNAME> aurel itu cantik tau. Pernah liat asli nya kok. Org sirik itu yg menjelek jelekannya. Padahal muka sendiri belum tente lebih cantik dan muda daripada aurel. aurel difoto nampak putib bilangnya suntik putih, kelihatan hitam dibilang gk bisa ra",no,username aurel cantik lihat asli nya orang sirik jelek jelek muka tente cantik muda aurel aurel foto nampak putib bilang suntik putih hitam bilang ra
1021,"<USERNAME> Astagfirullah... Mbak tolong ucapannya dijaga ya, ALLAH menciptakan manusia dengan sempurna, kok mbak ngomongnya kayak gitu. Aurel cantik kok, wajar manusia ada kekurangannya. Dan mbak Ashanti wajar belain anaknya, bukan caper ya mbak, sia",no,username astagfirullah mbak tolong ucap jaga ya allah cipta manusia sempurna mbak ngomongnya aurel cantik wajar manusia kurang mbak ashanti wajar bain anak caper ya mbak sia
1022,"aurel itu perempuan hebat, ingat bgt kejadian zaman pipi mimi ny & dilihat didepan mata dia sendiri. Ga semua anak bs strong kyk dia. Yg nyinyir pasti iri krn aurel bs punya keluarga bahagia kyk skrg. Yg blg bundanya Ash lebay, mungkin blm punya anak. Hati2 sayang..km jg perempuan, nanti bakal jd ibu. Bayangin anakmu yg jd korban bully ??",no,aurel perempuan hebat banget jadi zaman pipi mimi nya mata anak strong nyinyir iri aurel keluarga bahagia bilang bunda ash lebay anak hati sayangkm perempuan bayangin anak korban bully
1023,Ganteng... Ini klo ga salah managernya.. semoga d lancarkan yaa..,no,ganteng salah managernya moga lancar yaa
1024,"Mukanya mirip ,,,insya Allah jodoh dunia akhirat mbk <USERNAME> amiiii",no,muka insya allah jodoh dunia akhirat mbak username amiiii
1025,Cantik banggeett ya kak depe.. ???? gk keliatan loh klo dy pernah nikah.. seperti msh gadis wajah nya.. cantik ???????????? semoga lancar sampai hari H kak depe.. bahagia dunia akhirat aammiinnn ??,no,cantik banggeett ya kak depe loh nikah gadis wajah nya cantik moga lancar h kak depe bahagia dunia akhirat aammiinnn
1026,Dadddd :( Semoga bisa dateng yaaa & untuk papa-papa diluar sana. Semoga sehat selalu & bisa menjadi saksi anak-anaknya saat menikah. AAMIIN!????,no,dadddd moga yaaa papapapa luar moga sehat saksi anakanaknya meni aamiin
1027,Semoga dilancarkan nikahnya dan ayahnya lekas ditemukan dalam keadaan sehat tanpa kurang suatu apapun :),no,moga lancar nikah ayah lekas temu sehat apa
1028,Semoga aja nikahannya lancar y mb. Jgn berlarut sedih kl bapak tirinya gak datang yg penting bapak kandung datang. Mungkin sj ada alasan anak kandung dari bapak tersebut melarang. Mungkin sj bapak itu udah balikan sama istri pertamanya. Dan kl sibapak datang itu berrti akan mengingatkan cerita lama. Mungkin yaa..,no,moga nikah lancar y mbak larut sedih tiri kandung alas anak kandung larang balik istri pertama sibapak berrti cerita yaa
1029,"Yea pak polisinya pinter hahahaha.. langsung belok, SIM nembak, gatau rambu2. Malah minta surat perintah yaelah lu pikir rumah lu mau digeledah ??",no,yea polisi pintar hahahaha langsung belok sim tembak tau rambu surat perintah yaelah pikir rumah geledah
1030,Ini mau nikah lagi baguass deh smoga kelak jd kluarga yg samawa,no,nikah baguass deh moga kelak keluarga samawa
1031,Lucu.... suaranya kak abbey cantik kayak orang nya.... ?????????????? terharu....,no,lucu suara kak abbey cantik orang nya haru
1032,Pernah ketemu sama mba artika sari disesemall di Jakarta...ampunnn ayunee...mana semampai....murah senyummm....cakep pisan lah,no,ketemu mbak artika sari disesemall jakartaampunnn ayuneemana semampaimurah senyummmcakep
1033,"Bener kata pepatah Yess, Buah Jatuh gak Jauh dari PohoN nya... Cantik Nya dapet dari Mama_Nya, Suara Bagus dan Pinter nyanyi dari darah seni Papa Nya.. #calon generasi hebat di masa depan",no,pepatah yess buah jatuh pohon nya cantik nya mama nya suara bagus pintar nyanyi darah seni papa nya calon generasi hebat
1034,"Bahagianya punya anak cantik berbakat, bersyukur bnr dapat titipan demikian indah",no,bahagia anak cantik bakat syukur titip indah
1035,Semoga di berikan kesehatan dan rezeki yg berlimpaah pak ??,no,moga sehat rezeki berlimpaah
1036,Semoga selalu sehat dan dimurahkan rejekinya ya Pak,no,moga sehat murah rejekinya ya
1037,"Pria setia, pekerja keras tdk malu pilih-pilih cari nafkah sangat sedikit sekali yang banyak kebalikan..beda bgt sama seseorang yang kenal. Mentang2 ganteng, milih nganggur ketimbang jd ojol. Udh gitu istri diselingkuhin lagi. Baik kalo ada maunya ????",no,pria setia kerja keras malu pilihpilih cari nafkah kebalikanbeda banget kenal mentang ganteng pilih nganggur ketimbang ojol istri diselingkuhin mau
1038,"Doa istri dan anak menyertaimu bang... lelaki yg bertanggung jawab itu sangat PERLU, karna kalo laki2 tanggung jawab otomatis dia akan sayang dgn anak dan istri. Beda dgn sayang yg belum tentu bertanggung jawab ??????",no,doa istri anak serta bang lelaki tanggung laki tanggung otomatis sayang anak istri beda sayang tanggung
1039,Ya Allah bahagia itu gak harus dgn cara yg mewah sesederhana begini aj deh bahagia bisa komunikasi dgn keluarga ??,no,ya allah bahagia mewah sederhana deh bahagia komunikasi keluarga
1040,"Mereka hanya mencari rejeki utk keluarganya, kalau ada yg merasa tdk berkenan tolong jangan menggunakan kekerasan",no,cari rejeki keluarga kenan tolong keras
1041,"Salut sekali Banting tulang demi menghidupi keluarga.yg duduk di bangku empuk,pakai AC Malah merampok.yg milih rakyat jelata lagi",no,salut banting tulang hidup keluargayg duduk bangku empukpakai ac merampokyg pilih rakyat jelata
1042,"Amin, smg selalu di lancarkan n di mudahkan rejeki nya.. jd inget waktu suami sy jg gojek dulu, srg nlp nanyain anak istri nya udah mkn atau blm.. pdhl mgkn dia sendiri entah sempet mkn atau ngga, walaupun hujan2an n panas2an tp ga penh mengeluh.. selalu menyempatkan komunikasi n ttp keep in touch di sela2 kesibukannya. Bangga n ttp berjuang y ms gojek krn anak n istri selalu mendoakan yg terbaik..",no,amin moga lancar n mudah rejeki nya suami gojek telpon anak istri nya makan sempet makan hujan n panas penh keluh sempat komunikasi n keep in touch sibuk bangga n juang y ms gojek anak n istri doa baik
1043,"Respect dengan istri n anak2 nya yg menunggu dengan sabar dirumah insya Allah ,Allah swt selalu menjaga nya.",no,hormat istri n anak nya tunggu sabar rumah insya allah allah subhanahu wata ala jaga nya
1044,"Laki-laki yang beneran berjuang unt anak istri, membahagiakan istri insyaallah di dunia mendapat rejeki yg ga disangka-sangka di akherat akan ada surga kelak amiin",no,lakilaki juang unt anak istri bahagia istri insyaallah dunia rejeki disangkasangka akherat surga kelak amin
1045,"Bangga sama suami yg selalu ingat istri disela waktunya, apapun profesimu... Kaulah juaranya. Sehat terus pak gojek, semoga lacar rejekimu. Amiiin....",no,bangga suami istri sela apa profesi kau juara sehat gojek moga lacar rejekimu amiiin
